Word,Frequency
dibbāya,4
sotadhātuyā,4
sarāgaṃ,4
vītarāgaṃ,4
sadosaṃ,4
vītadosaṃ,4
samohaṃ,4
vītamohaṃ,4
saṅkhittaṃ,4
vikkhittaṃ,4
mahaggataṃ,4
amahaggataṃ,4
sauttaraṃ,4
anuttaraṃ,4
samāhitaṃ,4
asamāhitaṃ,4
vimuttaṃ,4
avimuttaṃ,4
pubbenivāsaṃ,4
anussarati,4
evaṃnāmo,4
evaṃgotto,4
evaṃvaṇṇo,4
evamāhāro,4
evaṃsukhadukkhappaṭisaṃvedī,4
evamāyupariyanto,4
tato,4
cuto,4
dibbena,4
visuddhena,4
atikkantamānusakena,4
passati,4
cavamāne,4
upapajjamāne,4
hīne,4
paṇīte,4
suvaṇṇe,4
dubbaṇṇe,4
sugate,4
duggate,4
yathākammūpage,4
ariyānaṃ,4
ekaṃ,3
pūraṇaṃ,3
kassapaṃ,3
makkhaliṃ,3
gosālaṃ,3
ajitaṃ,3
kesakambalaṃ,3
pakudhaṃ,3
kaccāyanaṃ,3
sañcayaṃ,3
belaṭṭhaputtaṃ,3
nigaṇṭhaṃ,3
nāṭaputtaṃ,3
jīvakaṃ,3
komārabhaccaṃ,3
arahaṃ,3
sammāsambuddho,3
kacci,3
tenupasaṅkami,3
ṭhito,3
udayabhaddo,3
kumāro,3
sace,3
karoti,3
hatthārohā,3
assārohā,3
rathikā,3
dhanuggahā,3
celakā,3
calakā,3
piṇḍadāyakā,3
uggā,3
rājaputtā,3
pakkhandino,3
mahānāgā,3
sūrā,3
cammayodhino,3
dāsikaputtā,3
āḷārikā,3
kappakā,3
nhāpakā,3
sūdā,3
mālākārā,3
rajakā,3
pesakārā,3
naḷakārā,3
kumbhakārā,3
gaṇakā,3
muddikā,3
panaññānipi,3
evaṃgatāni,3
sippaphalaṃ,3
upajīvanti,3
attānaṃ,3
mātāpitaro,3
puttadāraṃ,3
mittāmacce,3
samaṇabrāhmaṇesu,3
uddhaggikaṃ,3
patiṭṭhapenti,3
sovaggikaṃ,3
sukhavipākaṃ,3
saggasaṃvattanikaṃ,3
vā’’ti,3
karoto,3
pāpaṃ,3
pathaviyā,3
āgamo,3
satāni,3
ekūnapaññāsa,3
bāle,3
paṇḍite,3
byantiṃ,3
loke,3
cātumahābhūtiko,3
purisā,3
ādāya,3
lokoti,3
nevatthi,3
maraṇāti,3
vikkhepaṃ,3
imesaṃ,3
mukhullokako,3
yaṃnūnāhaṃ,3
pabbajeyya’nti,3
rāsivaḍḍhako,3
dutiyaṃ,3
bhagavato,3
suṇāti,3
indriyesu,3
bhāsitā,3
khaggaṃ,3
dhammavinayaṃ,3
jayo,3
parājayo,3
dubbhikkhaṃ,3
khemaṃ,3
kutoci,3
paṭisaṃvedeti,3
disvā,3
saṃvaraṃ,3
yeneva,3
pakkhī,3
sakuṇo,3
iṇaṃ,3
tāni,3
balamattā,3
mucceyya,3
mutto,3
yenakāmaṃgamo,3
kantāraddhānamaggaṃ,3
nīvaraṇe,3
attani,3
kāyo,3
udakarahado,3
cakkhumā,3
īsikā,3
asi,3
ahi,3
yadeva,3
ākaṅkheyya,3
tadeva,3
abhinipphādeyya,3
majjhe,3
siṅghāṭake,3
paṭipadāti,3
pitaraṃ,3
dhammikaṃ,3
dhammarājānaṃ,3
accayaṃ,3
accayato,3
mayaṃ,3
bhikkhave,3
sāmaññaphalasuttaṃ,2
jīvakassa,2
komārabhaccassa,2
ambavane,2
mahatā,2
bhikkhusaṅghena,2
aḍḍhateḷasehi,2
bhikkhusatehi,2
tadahuposathe,2
udānaṃ,2
udānesi,2
jīvako,2
komārabhacco,2
avidūre,2
vijjācaraṇasampanno,2
sugato,2
lokavidū,2
anuttaro,2
purisadammasārathi,2
satthā,2
